Algorithm,Dataset,Size,Time (ms),Space (KB)
Merge Sort,Sorted (Ascending),1000,0.969,7.812
Heap Sort,Sorted (Ascending),1000,0.685,3.918
Bubble Sort,Sorted (Ascending),1000,0.013,3.918
Insertion Sort,Sorted (Ascending),1000,0.026,4.883
Selection Sort,Sorted (Ascending),1000,2.846,3.918
Quick Sort,Sorted (Ascending),1000,14.742,4.062
Library Sort,Sorted (Ascending),1000,40.553,4.883
Tim Sort,Sorted (Ascending),1000,0.177,5.859
Cocktail Shaker Sort,Sorted (Ascending),1000,0.011,4.883
Comb Sort,Sorted (Ascending),1000,0.268,4.883
Tournament Sort,Sorted (Ascending),1000,0.556,4.883
Introsort,Sorted (Ascending),1000,1.317,5.859
Merge Sort,Random,1000,1.51,7.812
Heap Sort,Random,1000,0.865,3.918
Bubble Sort,Random,1000,25.225,3.918
Insertion Sort,Random,1000,3.408,4.883
Selection Sort,Random,1000,3.471,3.918
Quick Sort,Random,1000,0.36,4.062
Library Sort,Random,1000,31.936,4.883
Tim Sort,Random,1000,0.35,5.859
Cocktail Shaker Sort,Random,1000,12.162,4.883
Comb Sort,Random,1000,0.533,4.883
Tournament Sort,Random,1000,0.712,4.883
Introsort,Random,1000,0.51,5.859
Merge Sort,Reverse Sorted,1000,1.087,7.812
Heap Sort,Reverse Sorted,1000,0.667,3.918
Bubble Sort,Reverse Sorted,1000,23.248,3.918
Insertion Sort,Reverse Sorted,1000,7.569,4.883
Selection Sort,Reverse Sorted,1000,4.568,3.918
Quick Sort,Reverse Sorted,1000,11.116,4.062
Library Sort,Reverse Sorted,1000,43.576,4.883
Tim Sort,Reverse Sorted,1000,0.518,5.859
Cocktail Shaker Sort,Reverse Sorted,1000,19.951,4.883
Comb Sort,Reverse Sorted,1000,0.321,4.883
Tournament Sort,Reverse Sorted,1000,0.502,4.883
Introsort,Reverse Sorted,1000,0.757,5.859
Merge Sort,Partially Sorted,1000,0.979,7.812
Heap Sort,Partially Sorted,1000,0.539,3.918
Bubble Sort,Partially Sorted,1000,17.008,3.918
Insertion Sort,Partially Sorted,1000,2.014,4.883
Selection Sort,Partially Sorted,1000,2.665,3.918
Quick Sort,Partially Sorted,1000,0.379,4.062
Library Sort,Partially Sorted,1000,34.812,4.883
Tim Sort,Partially Sorted,1000,0.276,5.859
Cocktail Shaker Sort,Partially Sorted,1000,7.187,4.883
Comb Sort,Partially Sorted,1000,0.547,4.883
Tournament Sort,Partially Sorted,1000,0.63,4.883
Introsort,Partially Sorted,1000,0.338,5.859
Merge Sort,Sorted (Ascending),2000,2.25,15.625
Heap Sort,Sorted (Ascending),2000,1.253,7.824
Bubble Sort,Sorted (Ascending),2000,0.028,7.824
Insertion Sort,Sorted (Ascending),2000,0.035,9.766
Selection Sort,Sorted (Ascending),2000,11.442,7.824
Quick Sort,Sorted (Ascending),2000,58.945,7.983
Library Sort,Sorted (Ascending),2000,179.615,9.766
